passage_id,chapter,section,subsection,page,cluster,cluster_name,cluster_short,x,y,word_count,text,nn,nn_sim
p0001,Part 1: General Information,(no section),(no subsection),10,7,Institutional & Transfer Credit,Transfer Credit,2.5619,2.0724,61,"Welcome to the intellectual and personal excitement of Duke Kunshan University, to its commitment to the finest education and to its passion for shaping a more knowledgeable, inclusive, responsible and peaceful world. DKU’s founders, leaders and community have set ambitious goals. Confident that you will contribute importantly to reaching those goals, we invite you to join us in pursuing them together.",p0006 p0009 p0022 p0285 p0018,0.864 0.793 0.785 0.782 0.775
p0002,Part 1: General Information,(no section),(no subsection),10,6,"History, Religion & Society",History & Religion,10.1623,0.3734,90,"Your experience here will prepare you to be among the next generations of leaders, who create the cutting edge of new knowledge, engage with courage and wisdom the world’s most pressing challenges, and extend perspectives and understanding across our globe. We share with our fellow human beings across the world the desire to make it a better place whether at the level of providing clean drinking water and sustainable energy systems for rural villages, or of developing preventive measures against future pandemics, or of peacefully negotiating regional or global conflict.",p0433 p0436 p0889 p0482 p0273,0.537 0.507 0.493 0.488 0.486
p0003,Part 1: General Information,(no section),(no subsection),10,5,Interdisciplinary Seminars & Learning Goals,Seminars,2.29,2.1045,40,"Please use this bulletin as a tool to understand who we are, to chart your own path through the rich opportunities DKU offers, and to help you to define the personal directions you hope to take through DKU and beyond.",p0006 p0001 p0259 p0290 p0140,0.552 0.497 0.480 0.474 0.465
p0004,Part 1: General Information,(no section),(no subsection),10,8,Public Policy & Economics,Policy & Economics,3.3721,1.9448,10,"--Prof. Youmei Feng, Chancellor --Dr. Al Bloom, Executive Vice Chancellor",p0010 p0313 p0005 p0559 p1368,0.614 0.339 0.310 0.310 0.308
p0005,Part 1: General Information,Mission Statement,(no subsection),10,7,Institutional & Transfer Credit,Transfer Credit,2.8882,1.9969,141,"Duke Kunshan University is a highly selective research-oriented, liberal arts and sciences university located in China, whose primary mission is to enable students from around the world to lead purposeful and productive lives. By delivering the highest quality undergraduate and graduate education that is truly interdisciplinary, we prepare students for professional, intellectual and societal leadership roles across the globe. The core of our educational offering is a four-year undergraduate degree program featuring an integrated and multi-disciplinary curriculum, with an effective blend of Chinese, American, and global techniques and values and a culture of academic excellence and freedom. Our world-class faculty pursue knowledge in service of society, involving students in innovative scholarship and research programs. As a premier Sino-US joint-venture university, we embrace the integration of global, national, and local traditions of thought and experience and promote cross-cultural understanding and cross-border collaborations.",p0009 p0007 p0019 p0022 p0024,0.848 0.807 0.806 0.784 0.784
p0006,Part 1: General Information,Statement on Diversity and Inclusion,(no subsection),10,7,Institutional & Transfer Credit,Transfer Credit,2.4333,2.0294,146,"Duke Kunshan University welcomes passionate, creative, and intellectually-driven students, faculty, and staff from all walks of life, from all over the world. We affirm the diverse histories, perspectives, experiences, identities, languages, and cultures that enhance our community, and we aim to create an environment where all members of our community are accepted, appreciated, and celebrated. Our commitment to inclusivity is grounded in the university’s mission. DKU is a community where those who study, live, and work see difference as an opportunity for meaningful dialogue, creative expression, and innovative thinking. The university aspires to foster mutual respect and understanding among and for all people, regardless of differing cultures, ethnicities, races, religions, genders, sexual orientations, ages, national origins, socio-economic backgrounds, capabilities, or any other category that can be used to divide people. Our uniquely rich cultural community is designed to cultivate informed and engaged citizens of the world.",p0001 p0018 p0009 p0005 p0285,0.864 0.799 0.756 0.755 0.745
p0007,Part 1: General Information,Who We Are,(no subsection),11,7,Institutional & Transfer Credit,Transfer Credit,3.0233,2.411,122,"Duke Kunshan University is a Sino-American partnership of Duke University, Wuhan University and Kunshan city in Jiangsu province to create a world-class liberal arts and research university offering a range of academic programs for students from China and throughout the world. A nonprofit, joint-venture institution, Duke Kunshan University was granted the accreditation approval by China’s Ministry of Education in September 2013. Duke Kunshan welcomed its first group of students in August 2014, initially offering graduate degrees as well as term-long programs for undergraduate students enrolled at Duke and other universities. In August 2018, Duke Kunshan welcomed its inaugural undergraduate class. The four-year bachelor’s degree program is based in the liberal arts and sciences tradition, which emphasizes critical thinking, creativity, collaboration and exploration.",p0005 p0056 p0057 p0066 p0021,0.807 0.799 0.791 0.783 0.782
p0008,Part 1: General Information,Who We Are,(no subsection),11,7,Institutional & Transfer Credit,Transfer Credit,2.7338,2.0999,104,"With the goal of spearheading the future of higher education, Duke Kunshan is influenced and informed by both Chinese and American traditions of higher education. The shared vision of Duke and Wuhan universities is that Duke Kunshan will help address the changing needs of global higher education. Their rich heritage inspires Duke Kunshan to pursue academic excellence and integrity and apply classroom knowledge in service to society. Duke Kunshan delivers academic programs designed to address society’s future needs through a curriculum based in the liberal arts tradition and a commitment to problem-based learning that challenges students to apply their knowledge during the learning process.",p0019 p0022 p0009 p0005 p0007,0.848 0.835 0.823 0.783 0.781
p0009,Part 1: General Information,Who We Are,(no subsection),11,7,Institutional & Transfer Credit,Transfer Credit,2.8136,1.9579,75,"As an international, intellectual community that encourages diversity, openness and creative learning, Duke Kunshan University welcomes outstanding students and faculty from around the world who contribute diverse perspectives and experiences to this global learning environment. The university’s innovative programs inspire students to master academically rigorous course work, generate new ideas and develop creative solutions to the world’s challenges, preparing them not just for careers in specific fields but to become globally sophisticated leaders and citizens.",p0005 p0022 p0008 p0019 p0001,0.848 0.831 0.823 0.807 0.793
p0010,Part 1: General Information,Who We Are,(no subsection),11,7,Institutional & Transfer Credit,Transfer Credit,3.0098,2.125,149,"Duke Kunshan is governed by an independent Board of Trustees and operates under a set of guiding principles that are consistent with those of world-leading universities. Administrative operations are in the charge of the university leadership team, headed by the Chancellor and the Executive Vice Chancellor. Feng Youmei, Duke Kunshan University Chancellor, is a professor, the former Executive Vice President of Wuhan University and the Vice Chairwoman for the Medical Education Committee of the China Association of Higher Education. She has profound expertise in medical education as well as abundant experience in university administration. Executive Vice Chancellor Al Bloom is a recognized global education leader and a scholar of psychology and language with a special focus on Chinese language and culture. Prior to joining DKU, Dr. Bloom served as the founding vice chancellor of NYU-Abu Dhabi for more than a decade and president of Swarthmore College for 18 years.",p0005 p0007 p0004 p0001 p0008,0.643 0.631 0.614 0.601 0.589
p0011,Part 1: General Information,Who We Are,(no subsection),12,7,Institutional & Transfer Credit,Transfer Credit,2.7543,2.0522,138,"Duke Kunshan University is a place for learning, living and self-discovery, in a setting that encourages the pursuit of knowledge within and beyond the classroom. Kunshan is located in close proximity to both Shanghai and Suzhou, two of the most developed metropolitan areas in China. Connected to both by high-speed rail and highways, the city of Kunshan is a center for business and high-tech research and manufacturing, and it has one of the fastest-growing economies in China. The 200-acre campus is in the Yangcheng Lake Science Park and features state-of-the-art classroom and meeting facilities, library resources, student and faculty housing and dining space, and recreational facilities. Multipurpose meeting spaces, breakout rooms and study areas allow students to work individually or in groups to review course materials, complete assignments and participate in the vibrant intellectual life of the campus.",p0007 p0009 p0066 p0001 p0022,0.746 0.727 0.721 0.719 0.716
p0012,Part 1: General Information,Partners,Duke University,12,7,Institutional & Transfer Credit,Transfer Credit,2.8663,2.7286,66,"A private comprehensive teaching and research university, Duke traces its roots to 1838, and officially became Duke University in 1924. In addition to liberal arts and engineering education at the undergraduate level, Duke offers graduate and professional study in arts and sciences, business, divinity, engineering, the environment, law, public policy, medicine and nursing. Duke enrolls more than 15,000 students in its undergraduate, graduate, and professional programs.",p0261 p0013 p0007 p0061 p0118,0.714 0.703 0.667 0.616 0.612
p0013,Part 1: General Information,Partners,Duke University,12,7,Institutional & Transfer Credit,Transfer Credit,2.7854,2.4627,80,"Duke’s home campus is situated on nearly 9,000 acres in Durham, North Carolina, USA, a city of more than 200,000 people. Duke also is active internationally through the Duke-NUS Graduate Medical School in Singapore, Duke Kunshan University in China and numerous research and education programs across the globe. More than 75 percent of Duke students pursue servicelearning opportunities in Durham and around the world through DukeEngage and other programs that advance the university’s mission of “knowledge in service to society.”",p0012 p0066 p0007 p0261 p0011,0.703 0.694 0.658 0.639 0.631
p0014,Part 1: General Information,Partners,Wuhan University,12,2,China & Asia (DKU Background Info; China & Asia stuides),China & Asia,2.9311,2.2579,94,"Located in Central China’s Hubei province, Wuhan University consistently ranks among the country’s top 10 universities and is a key comprehensive national university under the direct administration of the Ministry of Education. The college’s history can be traced back to the Ziqiang Institute founded in 1893 by Zhang Zhidong, governor-general of Hubei and Hunan provinces in the late Qing dynasty (1644-1911). In 1928, the institute was renamed as Wuhan National University. Its campus is regarded as one of the most beautiful in the country, boasting palatial buildings that blend Eastern and Western architectural styles.",p0007 p0008 p0005 p1368 p0010,0.557 0.488 0.474 0.455 0.450
p0015,Part 1: General Information,Partners,Wuhan University,13,1,"Advanced Placement, Credit & Electives",AP & Electives,3.3297,2.4553,41,"The university enjoys partnerships with more than 400 universities and research institutes in over 45 countries and regions, while its more than 300,000 alumni includes at least 100 members of the Chinese Academy of Science and the Chinese Academy of Engineering.",p0005 p0114 p0066 p0057 p0039,0.567 0.530 0.515 0.513 0.497
