target,ids,date,flag,user,text,weekday,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment,sentiment_score
4,2048720362,2009-06-05 15:39:50-07:00,NO_QUERY,Judy_bcn,@user ou sorry! my english is bad too :$ hehe but i'm speaking catalan in that moment,Friday,0.6322821378707886,0.32893145084381104,0.03878645598888397,Negative,-0.5934956818819046
0,2249549259,2009-06-19 22:32:38-07:00,NO_QUERY,msbunndotcom,just witnessed how easily my husband got my 2yo niece to take her medicine. OMG! What did I do wrong??? I was very nice with my approach!,Friday,0.02217218279838562,0.10431025177240372,0.873517632484436,Positive,0.8513454496860504
4,1957641384,2009-05-29 01:08:12-07:00,NO_QUERY,sarah_jean,"@user no, trying to meet baby spice!",Friday,0.05799812451004982,0.7100483775138855,0.2319534420967102,Neutral,0.17395531758666039
4,1961116118,2009-05-29 09:00:36-07:00,NO_QUERY,FreeBeing,#FF one of my new faves cos y'all know how I am! - @user,Friday,0.0026807733811438084,0.021482301875948906,0.9758368730545044,Positive,0.9731560996733606
4,1963691694,2009-05-29 13:06:13-07:00,NO_QUERY,NinaMcFLY,it's cruel that I'm not living in the UK. wanna watch BGT too.,Friday,0.893131673336029,0.09522701799869537,0.011641290970146656,Negative,-0.8814903823658824
4,1881318484,2009-05-22 04:18:24-07:00,NO_QUERY,alexmcduff,is sick with teh fever. but im so happy that my baby took care of me yesterday the whole day so i'm feeling so much better,Friday,0.03187837824225426,0.061705972999334335,0.9064157009124756,Positive,0.8745373226702213
0,1957624003,2009-05-29 01:04:58-07:00,NO_QUERY,susieblake2002,@user Aw I left it at home I do have some Travis or Coldplay though? xx,Friday,0.0258644949644804,0.6682339310646057,0.30590155720710754,Neutral,0.28003706224262714
0,2236599075,2009-06-19 04:06:05-07:00,NO_QUERY,tremblingfinger,Tante @user your number never works let's get together this weekend...,Friday,0.7090504765510559,0.27014029026031494,0.020809218287467957,Negative,-0.688241258263588
0,1960905445,2009-05-29 08:41:09-07:00,NO_QUERY,caitlinw13,..exams. haha just remembrd the china buffet king yesterday. vair amusing ....,Friday,0.010144536383450031,0.19862106442451477,0.7912343740463257,Positive,0.7810898376628757
4,1964706020,2009-05-29 14:40:12-07:00,NO_QUERY,seolman,@user sounds like a plan,Friday,0.01654750294983387,0.29958343505859375,0.6838690638542175,Positive,0.6673215609043837
0,2245732526,2009-06-19 16:33:34-07:00,NO_QUERY,micheala02,"Aliya has puked all over the carseat and car, peed all over a highchair and floor, and now diarhea all over the car seat Within 12 hrs!",Friday,0.8391866683959961,0.1448698490858078,0.015943503007292747,Negative,-0.8232431653887033
0,2044730649,2009-06-05 09:44:54-07:00,NO_QUERY,Sian_11,cant work out if hes playing games or not,Friday,0.3678734004497528,0.6128770112991333,0.019249608740210533,Neutral,-0.3486237917095423
4,2050715699,2009-06-05 19:10:00-07:00,NO_QUERY,twolamb,"I'm so excited, I'm about to pee in my pants",Friday,0.00924030039459467,0.016894226893782616,0.9738654494285583,Positive,0.9646251490339637
0,1965667019,2009-05-29 16:19:33-07:00,NO_QUERY,NikitaBonita,Sick of fighting so it looks like no more burlesque for me,Friday,0.8921363949775696,0.09841584414243698,0.009447655640542507,Negative,-0.8826887393370271
4,1963531604,2009-05-29 12:51:53-07:00,NO_QUERY,JtErvin,"@user haha not this season, but hopefully by next year it'll be the first official TV season!",Friday,0.0033261512871831656,0.15249252319335938,0.8441813588142395,Positive,0.8408552075270563
0,1881102141,2009-05-22 03:36:26-07:00,NO_QUERY,omegatron,"@user Yep, can't get access to the desktop without getting rid of it, and I can't get the thing to boot of the Mac OS 9.0.4 cd either",Friday,0.7441792488098145,0.24147145450115204,0.014349228702485561,Negative,-0.7298300201073289
0,2048952661,2009-06-05 16:02:53-07:00,NO_QUERY,MardellDavis,how long is it going to take to get an answer? getting seriously stressed out here,Friday,0.8706953525543213,0.12109385430812836,0.008210757747292519,Negative,-0.8624845948070288
4,1957287777,2009-05-29 00:03:21-07:00,NO_QUERY,metamorphosisss,Okay...Back to job tracking,Friday,0.09826035797595978,0.7575187683105469,0.14422088861465454,Neutral,0.04596053063869476
4,1960192316,2009-05-29 07:34:18-07:00,NO_QUERY,Lou1510,@user im yours is on! hehehe love it! xxxxx,Friday,0.002649628324434161,0.00787516962736845,0.9894751310348511,Positive,0.9868255027104169
4,1964894269,2009-05-29 14:59:09-07:00,NO_QUERY,shaquib,I like the idea of having a big family,Friday,0.008840850554406643,0.17620602250099182,0.814953088760376,Positive,0.8061122382059693
4,2048389995,2009-06-05 15:07:19-07:00,NO_QUERY,ennnaenna,"i'm @user i can't really do anything, but it's fun.",Friday,0.043462205678224564,0.22927983105182648,0.7272579669952393,Positive,0.6837957613170147
0,2247499703,2009-06-19 19:11:20-07:00,NO_QUERY,sarannfox,@user my little coin purse that said this economy sucks is lost! someone pickpocketed me in hollister i had so much in there ...,Friday,0.9406254887580872,0.051952559500932693,0.007422009017318487,Negative,-0.9332034797407687
0,1964685410,2009-05-29 14:38:09-07:00,NO_QUERY,nedia,@user im going to my dance class now,Friday,0.012332952581346035,0.8141306042671204,0.17353639006614685,Neutral,0.16120343748480082
4,1964734314,2009-05-29 14:43:00-07:00,NO_QUERY,demiwood,@user Hey you're welcome... like the way you change your pic btw... v.clever,Friday,0.0041540577076375484,0.027997244149446487,0.9678487181663513,Positive,0.9636946604587138
0,2051549555,2009-06-05 22:16:48-07:00,NO_QUERY,Joshontheradio2,I'm on the air and not feeling well.,Friday,0.8535290360450745,0.1357513964176178,0.010719669051468372,Negative,-0.8428093669936061
4,1962007670,2009-05-29 10:22:47-07:00,NO_QUERY,AAmyHaanson,@user it just took a while.,Friday,0.1481551080942154,0.8253798484802246,0.0264650397002697,Neutral,-0.1216900683939457
4,1957550264,2009-05-29 00:51:18-07:00,NO_QUERY,SamanthaSlade,[http] don't forget goodnight.,Friday,0.012651524506509304,0.3891221880912781,0.5982263088226318,Positive,0.5855747843161225
