cluster,n_passages,label,short_label,top_words,top_phrases
0,94,"Biology, Chemistry & Environmental Science",Bio / Chem / Env,"biochemistry, species, cellular, genetics, cell, ecosystem, biological, earth, molecular, biology, genetic, disease","biol cell, aqueous geochemistry, ecology biol, earth oceans, introduction biochemistry, genetics evolution, science biology, biological sciences, human health, structure function, general ecology, sciences envir"
1,107,"Advanced Placement, Credit & Electives",AP & Electives,"board, placement, college, requirement, list, examination, basis, credit, electives, advanced, courses, following","placement basis, basis college, board examination, updated periodically, list updated, recommended electives, credit advanced, college board, advanced placement, course list, quantitative reasoning, course listed"
2,117,China & Asia (DKU Background Info; China & Asia stuides),China & Asia,"china, read, chinese, reading, asia, texts, present, cultures, period, history, modern, ability","contemporary china, chinese culture, modern china, students continue, using chinese, chinese speakers, cultural issues, grammatical structures, ethnic peoples, peoples china, students read, culanth borders"
3,160,Course Prerequisites,Prerequisites,"intgsci, prerequisite, consent, math, phys, equivalent, compsci, stats, instructor, biol, chinese","prerequisite econ, prerequisite intgsci, prerequisite biol, prerequisite phys, intgsci biol, prerequisite math, prerequisite compsci, prerequisite eap, consent instructor, math math, chinese equivalent, prerequisite chinese"
4,89,"Media, Film & Visual Arts",Media & Film,"storytelling, video, photography, documentary, sound, digital, mediart, images, media, film, visual, art","media arts, mediart introduction, audio documentary, media studies, media systems, documentary storytelling, global media, writing stories, visual culture, film musicals, race film, digital media"
5,137,Interdisciplinary Seminars & Learning Goals,Seminars,"independent, expertise, goals, designed, skills, community, learn, help, seminar, disciplinary, develop, provide","course learn, language course, variety disciplines, language learning, academic advising, areas expertise, analysis gained, ability disciplinary, core component, capacities translate, component interdisciplinary, community faculty"
6,182,"History, Religion & Society",History & Religion,"rights, religious, religion, nature, gender, american, people, examines, explores, historical, political, human","world history, middle east, course offers, course examines, course explore, united states, course explores, course introduces, introduces students, case studies, topics include"
7,110,Institutional & Transfer Credit,Transfer Credit,"duke, kunshan, university, degree, transfer, taken, dku, programs, offered, education, services, summer","university undergraduate, prior matriculation, matriculation duke, prematriculation credits, duke university, kunshan university, duke kunshan, bachelor degree, student services, taken duke, university student, university duke"
8,130,Public Policy & Economics,Policy & Economics,"regulatory, economics, governance, pubpol, polsci, pollution, ethldr, policy, economy, economic, public, democracy","intermediate microeconomics, pubpol introduction, regulatory governance, envir econ, environmental economics, economic growth, economics policy, econ environmental, microeconomics econ, policy choice, policy analysis, analysis public"
9,95,"Academic Standing, Leave & Withdrawal",Standing & Leave,"withdrawal, probationary, probation, incomplete, warning, load, suspension, withdraw, underload, designee, dean, absence","probationary status, students register, clear probationary, medical leave, placed academic, prior day, week classes, final examination, incomplete work, withdraw underload, result academic, section incomplete"
10,147,"Computer Science, Math & Data Science",CS / Math / Data,"linear, programming, properties, computer, covers, applications, physics, data, materials, models, statistical, structures","data science, properties materials, linear algebra, computational sciences, compsci introduction, math multivariable, multivariable calculus, data structures, data analysis, materials science, machine learning, introductory course"
